Data File Name,2100 expert_mRNA Nano_DE13804677_2022-10-19_15-49-14.xad
Data File Path,F:\BPC\PAb_ME1_020
Date Created,"Wednesday, October 19, 2022 1:49:13 PM"
Date Last Modified,"Wednesday, October 19, 2022 2:19:41 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1420
 
Time,Value
14,1.915726E-02
14.05,-2.406411E-03
14.1,-2.205461E-02
14.15,-2.279792E-02
14.2,-1.117688E-02
14.25,1.500677E-02
14.3,2.544248E-02
14.35,8.945473E-03
14.4,-4.65171E-03
14.45,-2.032542E-02
14.5,-2.093478E-02
14.55,-0.0288658
14.6,-5.724607E-03
14.65,-1.926177E-03
14.7,-5.471077E-03
14.75,-1.250097E-02
14.8,-1.600483E-02
14.85,-2.568273E-02
14.9,-3.415168E-02
14.95,-2.333215E-02
15,-2.156679E-03
15.05,2.728666E-02
15.1,3.716126E-02
15.15,4.648821E-02
15.2,0.0430694
15.25,3.227546E-02
15.3,1.746799E-02
15.35,2.122574E-02
15.4,3.762731E-02
15.45,4.815327E-02
15.5,5.610103E-02
15.55,6.119164E-02
15.6,6.299902E-02
15.65,6.082902E-02
15.7,7.565301E-02
15.75,7.733567E-02
15.8,5.830132E-02
15.85,2.694575E-02
15.9,0.0102608
15.95,1.650884E-02
16,3.612527E-02
16.05,5.875779E-02
16.1,0.0768428
16.15,7.305169E-02
16.2,5.174491E-02
16.25,3.500856E-02
16.3,0.0329114
16.35,4.590802E-02
16.4,5.343385E-02
16.45,5.583832E-02
16.5,4.788729E-02
16.55,2.645827E-02
16.6,1.639589E-02
16.65,1.831607E-02
16.7,3.047089E-02
16.75,4.640686E-02
16.8,6.186132E-02
16.85,8.123817E-02
16.9,9.401946E-02
16.95,0.0886614
17,5.494439E-02
17.05,4.204614E-02
17.1,2.735434E-02
17.15,2.564128E-02
17.2,5.305102E-02
17.25,7.263979E-02
17.3,8.112344E-02
17.35,5.638732E-02
17.4,4.433833E-02
17.45,5.254881E-02
17.5,4.455751E-02
17.55,5.559514E-02
17.6,7.070927E-02
17.65,6.800554E-02
17.7,4.598325E-02
17.75,5.025151E-02
17.8,8.971068E-02
17.85,9.263046E-02
17.9,0.1001363
17.95,8.453799E-02
18,0.0510098
18.05,1.482499E-02
18.1,1.085908E-02
18.15,3.892728E-02
18.2,6.056905E-02
18.25,6.029305E-02
18.3,0.0542772
18.35,3.510933E-02
18.4,3.289879E-02
18.45,2.904189E-02
18.5,3.175167E-02
18.55,4.384166E-02
18.6,0.0546482
18.65,0.0638991
18.7,6.160671E-02
18.75,0.1250748
18.8,0.4780386
18.85,1.255595
18.9,2.367552
18.95,3.412626
19,3.982853
19.05,3.763583
19.1,2.944342
19.15,1.903373
19.2,1.015959
19.25,0.4519745
19.3,0.1780077
19.35,6.632935E-02
19.4,3.397579E-02
19.45,4.150792E-02
19.5,7.583523E-02
19.55,9.984319E-02
19.6,0.1295033
19.65,0.1588455
19.7,0.1519043
19.75,0.1379418
19.8,0.1570233
19.85,0.1686451
19.9,0.1858613
19.95,0.1945221
20,0.215792
20.05,0.2110111
20.1,0.1847578
20.15,0.1888004
20.2,0.2078902
20.25,0.2164751
20.3,0.2574023
20.35,0.2954964
20.4,0.3405802
20.45,0.3496351
20.5,0.3384183
20.55,0.3386239
20.6,0.3638418
20.65,0.4082145
20.7,0.4509965
20.75,0.4895002
20.8,0.5088745
20.85,0.4922769
20.9,0.4797642
20.95,0.4698924
21,0.4541554
21.05,0.4451779
21.1,0.4439702
21.15,0.4698219
21.2,0.4915067
21.25,0.515671
21.3,0.5653223
21.35,0.5615479
21.4,0.5662616
21.45,0.5670961
21.5,0.5537715
21.55,0.5499645
21.6,0.5475348
21.65,0.5382643
21.7,0.5279334
21.75,0.5159669
21.8,0.5175402
21.85,0.5044814
21.9,0.4949153
21.95,0.4882632
22,0.4918074
22.05,0.5143504
22.1,0.5027487
22.15,0.4620418
22.2,0.4512455
22.25,0.4306908
22.3,0.4118742
22.35,0.4239755
22.4,0.4253865
22.45,0.4113022
22.5,0.4219114
22.55,0.4476556
22.6,0.4616828
22.65,0.4707912
22.7,0.490254
22.75,0.4753558
22.8,0.4383295
22.85,0.4138477
22.9,0.3933787
22.95,0.3892824
23,0.4191942
23.05,0.4513099
23.1,0.4468906
23.15,0.4252711
23.2,0.4230502
23.25,0.395772
23.3,0.3788738
23.35,0.384715
23.4,0.3868215
23.45,0.3886135
23.5,0.3964619
23.55,0.4261697
23.6,0.4535391
23.65,0.4656069
23.7,0.4924518
23.75,0.5069104
23.8,0.5202464
23.85,0.5483871
23.9,0.5847319
23.95,0.6149864
24,0.6103203
24.05,0.6238316
24.1,0.6170611
